instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
C2_10_8,C2,GWO,2026.0,True,1000,397,270365.371138,954192.247667,50.161657,-1067.6470588235293,-700.4396004935527,-634.9422013795665
C2_10_9,C2,GWO,2026.0,True,1000,355,261562.271801,864760.540889,49.624447,-706.8181818181819,-389.0395316234659,-468.8252030842345
R1_10_1,R1,GWO,2026.0,True,1000,627,332991.073456,738281.972582,53.374287,-485.9813084112149,-293.9270047735463,-356.00526950889355
R1_10_10,R1,GWO,2026.0,True,1000,569,323356.621867,661209.782374,54.474875,-518.4782608695652,-255.44997981347578,-349.9554499041359
R1_10_2,R1,GWO,2026.0,True,1000,504,317218.169608,620599.645162,52.786112,-447.82608695652175,-281.72612035798915,-342.536869501281
R1_10_3,R1,GWO,2026.0,True,1000,387,303377.397976,511720.465156,50.323053,-320.65217391304344,-222.78149998561437,-281.25242601236937
R1_10_4,R1,GWO,2026.0,True,1000,267,284882.873409,390938.370624,45.115267,-190.2173913043478,-184.10327273507465,-211.61671053074406
R1_10_5,R1,GWO,2026.0,True,1000,614,327088.216997,728657.348644,54.780675,-526.530612244898,-309.4213534257164,-359.0120015188043
R1_10_6,R1,GWO,2026.0,True,1000,495,311380.817408,618620.543088,52.446544,-438.0434782608695,-294.2369202390887,-373.8428624394174
R1_10_7,R1,GWO,2026.0,True,1000,380,302558.380396,502244.083756,49.780903,-313.04347826086956,-233.6816082252839,-290.81152648926627
R1_10_8,R1,GWO,2026.0,True,1000,263,279515.324264,380423.99511,43.991689,-185.8695652173913,-168.28207422599397,-204.5196252693161
R1_10_9,R1,GWO,2026.0,True,1000,593,322834.909334,698832.22791,54.314405,-524.2105263157895,-280.34810402977837,-355.96350960126995
R2_10_1,R2,GWO,2026.0,True,1000,497,317664.085108,2137622.025761,52.032759,-2266.666666666667,-332.53419001997753,-1508.8257391242662
R2_10_10,R2,GWO,2026.0,True,1000,439,316222.685971,1891077.452028,51.043341,-2210.5263157894738,-359.7441386181215,-1446.4768376996124
R2_10_2,R2,GWO,2026.0,True,1000,381,305057.144298,1670478.390302,50.391886,-1905.263157894737,-399.5407102457338,-1429.4626249105042
R2_10_3,R2,GWO,2026.0,True,1000,263,287669.663628,1200981.377711,45.536894,-1284.2105263157896,-482.0694711154668,-894.7628135066161
R2_10_4,R2,GWO,2026.0,True,1000,146,273241.852008,711440.497301,43.618479,-668.421052631579,-517.1724160635963,-892.5389766414481
