instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
RC2_10_1,RC2,Standard ACO,2026,1,112,88574.980078,403836.835606
RC2_10_1,RC2,Standard ACO,2026,2,112,88574.980078,403836.835606
RC2_10_10,RC2,Standard ACO,2026,1,46,60811.4177,179979.276669
RC2_10_2,RC2,Standard ACO,2026,1,96,83418.694942,362048.197283
RC2_10_3,RC2,Standard ACO,2026,1,75,71045.014879,285506.485621
RC2_10_4,RC2,Standard ACO,2026,1,48,54771.136647,195195.582857
RC2_10_5,RC2,Standard ACO,2026,1,81,75404.207295,299684.838831
RC2_10_6,RC2,Standard ACO,2026,1,82,77657.795136,308419.362534
RC2_10_7,RC2,Standard ACO,2026,1,73,67393.841768,266728.214851
RC2_10_8,RC2,Standard ACO,2026,1,62,67431.669179,229197.042154
RC2_10_9,RC2,Standard ACO,2026,1,55,66613.018267,211193.718461
